SCE_KERNEL_ERROR_EPERM,CE-30001-4,0x80020001,Operation not permitted
SCE_KERNEL_ERROR_EADDRNOTAVAIL,CE-30049-6,0x80020031,Can't assign requested address
SCE_KERNEL_ERROR_ENETDOWN,CE-30050-8,0x80020032,Network is down
SCE_KERNEL_ERROR_ENETUNREACH,CE-30051-9,0x80020033,Network is unreachable
SCE_KERNEL_ERROR_ENETRESET,CE-30052-0,0x80020034,Network dropped connection on reset
SCE_KERNEL_ERROR_ECONNABORTED,CE-30053-1,0x80020035,Software caused connection abort
SCE_KERNEL_ERROR_ECONNRESET,CE-30054-2,0x80020036,Connection reset by peer
SCE_KERNEL_ERROR_ENOBUFS,CE-30055-3,0x80020037,No buffer space available
SCE_KERNEL_ERROR_EISCONN,CE-30056-4,0x80020038,Socket is already connected
SCE_KERNEL_ERROR_ENOTCONN,CE-30057-5,,Socket is not connected
SCE_KERNEL_ERROR_ESHUTDOWN,CE-30058-6,,Can't send after socket shutdown
SCE_KERNEL_ERROR_ETOOMANYREFS,CE-30059-7,,Too many references: can't splice
SCE_KERNEL_ERROR_ETIMEDOUT,CE-30060-9,,Operation timed out
SCE_KERNEL_ERROR_ECONNREFUSED,CE-30061-0,,Connection refused
SCE_KERNEL_ERROR_ELOOP,CE-30062-1,,Too many levels of symbolic links
SCE_KERNEL_ERROR_ENAMETOOLONG,CE-30063-2,,File name too long
SCE_KERNEL_ERROR_EHOSTDOWN,CE-30064-3,,Host is down
SCE_KERNEL_ERROR_EHOSTUNREACH,CE-30065-4,,No route to host
SCE_KERNEL_ERROR_ENOTEMPTY,CE-30066-5,,Directory not empty
SCE_KERNEL_ERROR_EPROCLIM,CE-30067-6,,Too many processes
SCE_KERNEL_ERROR_EUSERS,CE-30068-7,,Too many users
SCE_KERNEL_ERROR_EDQUOT,CE-30069-8,,Disc quota exceeded
SCE_KERNEL_ERROR_ESTALE,CE-30070-0,,Stale NFS file handle
SCE_KERNEL_ERROR_EREMOTE,CE-30071-1,,Too many levels of remote in path
SCE_KERNEL_ERROR_EBADRPC,CE-30072-2,,RPC struct is bad
SCE_KERNEL_ERROR_ERPCMISMATCH,CE-30073-3,,RPC version wrong
SCE_KERNEL_ERROR_EPROGUNAVAIL,CE-30074-4,,RPC prog. not avail
SCE_KERNEL_ERROR_EPROGMISMATCH,CE-30075-5,,Program version wrong
SCE_KERNEL_ERROR_EPROCUNAVAIL,CE-30076-6,,Bad procedure for program
SCE_KERNEL_ERROR_ENOLCK,CE-30077-7,,No locks available
SCE_KERNEL_ERROR_ENOSYS,CE-30078-8,,Function not implemented
SCE_KERNEL_ERROR_EFTYPE,CE-30079-9,,Inappropriate file type or format
SCE_KERNEL_ERROR_EAUTH,CE-30080-1,,Authentication error
SCE_KERNEL_ERROR_ENEEDAUTH,CE-30081-2,,Need authenticator
SCE_KERNEL_ERROR_EIDRM,CE-30082-3,,Identifier removed
SCE_KERNEL_ERROR_ENOMSG,CE-30083-4,,No message of desired type
SCE_KERNEL_ERROR_EOVERFLOW,CE-30084-5,,Value too large to be stored in data type
SCE_KERNEL_ERROR_ECANCELED,CE-30085-6,,Operation canceled
SCE_KERNEL_ERROR_EILSEQ,CE-30086-7,,Illegal byte sequence
SCE_KERNEL_ERROR_ENOATTR,CE-30087-8,,Attribute not found
SCE_KERNEL_ERROR_EDOOFUS,CE-30088-9,,Programming error
SCE_KERNEL_ERROR_EBADMSG,CE-30089-0,,Bad message
SCE_KERNEL_ERROR_EMULTIHOP,CE-30090-2,,Multi-hop attempted
"",CE-30091-3,,Link has been severed
"",CE-30092-4,,Protocol error
"",CE-30093-5,,Capabilities insufficient
"",CE-30094-6,,Not permitted in capability mode
"",CE-30095-7,,Block not ready
"",CE-30391-6,,System Error. // Your system likely needs to be serviced. Please visit our Contact page to set up service.
"",CE-30392-7,,"Hardware Error. // Your system likely needs to be serviced. Please visit our Contact page to set up service. Check system clock / time. If it's reset, change CMOS battery and test. If that fails and/or is OK, replace Mediacon (Southbridge) IC."
SCE_SBL_ERROR_NPDRM_ESIGN,CE-30559-2,0x800F0A24,Cannot start the application.
"",CE-30608-7,,Hardware Error. // Your system likely needs to be serviced. Please visit our Contact page to set up service.
"",CE-30614-4,,Out-of-memory
"",CE-30615-5,,File IO error
"",CE-30616-6,,Invalid parameters
"",CE-30617-7,,Invalid MAGIC code (system file broken)
"",CE-30618-8,,Key's not found (system file broken)
"",CE-30619-9,,Duplication of key (system file broken)
"",CE-30620-1,,Invalid version(system file broken)
"",CE-30621-2,,Invalid data size (system file broken)
"",CE-30774-1,,Cannot Update // The PS4 system software could not be updated using a USB storage device. Try updating via the Internet instead.
"",CE-30784-2,,"PS4 failed to detect USB device // Step 1: Verify that the USB device supports USB 2.0 or 3.0. Step 2: Ensure the device is properly inserted in the PS4, and then wait one minute before trying to access the device again. Step 3: Make sure there are not multiple partitions on the device. Step 4: Initialize the device on a PC if possible. If this error is encountered while updating the PS4, the storage device is likely not supported. Try updating via the Internet instead."
"",CE-30785-3,,"HDD error // If this error is encountered after upgrading the HDD, go into Safe Mode and select option 7, [Initialize the PS4 (Reinstall System Software)]. If this error is encountered at random, go into Safe Mode and select option 6, [Initialize PS4]. If the error persists and you have upgraded the HDD, use the original HDD. If the error still persists, contact consumer support as the system may need service."
SCE_USBD_ERROR_IO,CE-30791-0,0x80240001,I/O error
SCE_USBD_ERROR_INVALID_ARG,CE-30792-1,0x80240002,Invalid argument
SCE_USBD_ERROR_ACCESS,CE-30793-2,0x80240003,Permission denied
SCE_USBD_ERROR_NO_DEVICE,CE-30794-3,0x80240004,No such device
SCE_USBD_ERROR_NOT_FOUND,CE-30795-4,0x80240005,Resource not found
SCE_USBD_ERROR_BUSY,CE-30796-5,0x80240006,Resource busy
SCE_USBD_ERROR_TIMEOUT,CE-30797-6,0x80240007,Timer expired
SCE_USBD_ERROR_OVERFLOW,CE-30798-7,0x80240008,Value too large to be stored in data type
SCE_USBD_ERROR_PIPE,CE-30799-8,0x80240009,Broken pipe
SCE_USBD_ERROR_INTERRUPTED,CE-30800-1,0x8024000A,Interrupted system call
SCE_USBD_ERROR_NO_MEM,CE-30801-2,0x8024000B,Not enough core
SCE_USBD_ERROR_NOT_SUPPORTED,CE-30802-3,0x8024000C,Operation not supported
SCE_USBD_ERROR_FATAL,CE-30803-4,0x802400FF,Fatal error
SCE_AUDIO_OUT_ERROR_NOT_OPENED,CE-30804-5,0x80260001,Tried to perform an operation (play release or get number of remaining samples) for the port not opened
SCE_AUDIO_OUT_ERROR_BUSY,CE-30805-6,0x80260002,Tried to output while outputting audio
SCE_AUDIO_OUT_ERROR_INVALID_PORT,CE-30806-7,0x80260003,Invalid port number
SCE_AUDIO_OUT_ERROR_INVALID_POINTER,CE-30807-8,0x80260004,Invalid pointer
SCE_AUDIO_OUT_ERROR_PORT_FULL,CE-30808-9,0x80260005,Cannot reserve a port(channel) any more
SCE_AUDIO_OUT_ERROR_INVALID_SIZE,CE-30809-0,0x80260006,Invalid sample length specified
SCE_AUDIO_OUT_ERROR_INVALID_FORMAT,CE-30810-2,0x80260007,Invalid audio format
SCE_AUDIO_OUT_ERROR_INVALID_SAMPLE_FREQ,CE-30811-3,0x80260008,Invalid sampling frequency
SCE_AUDIO_OUT_ERROR_INVALID_VOLUME,CE-30812-4,0x80260009,Invalid volume value
SCE_AUDIO_OUT_ERROR_INVALID_PORT_TYPE,CE-30813-5,0x8026000A,Invalid port type
SCE_AUDIO_OUT_ERROR_INVALID_CONF_TYPE,CE-30814-6,0x8026000C,Invalid config type
SCE_AUDIO_OUT_ERROR_OUT_OF_MEMORY,CE-30815-7,0x8026000D,Not enough memory
SCE_AUDIO_OUT_ERROR_ALREADY_INIT,CE-30816-8,0x8026000E,already initialized
SCE_AUDIO_OUT_ERROR_NOT_INIT,CE-30817-9,0x8026000F,not initialized
SCE_AUDIO_OUT_ERROR_MEMORY,CE-30818-0,0x80260010,memory handling error
SCE_AUDIO_OUT_ERROR_SYSTEM_RESOURCE,CE-30819-1,0x80260011,system resourc error
SCE_AUDIO_OUT_ERROR_TRANS_EVENT,CE-30820-3,0x80260012,transfer event send error
SCE_AUDIO_OUT_ERROR_INVALID_FLAG,CE-30821-4,0x80260013,Invalid volume flag value
SCE_AUDIO_IN_ERROR_FATAL,CE-30822-5,0x80260100,undefined error
SCE_AUDIO_IN_ERROR_INVALID_HANDLE,CE-30823-6,0x80260101,Bad value of handle
SCE_AUDIO_IN_ERROR_INVALID_SIZE,CE-30824-7,0x80260102,Invalid sample length
SCE_AUDIO_IN_ERROR_INVALID_FREQ,CE-30825-8,0x80260103,Invalid sampling frequency
SCE_AUDIO_IN_ERROR_INVALID_TYPE,CE-30826-9,0x80260104,Invalid bus type
SCE_AUDIO_IN_ERROR_INVALID_POINTER,CE-30827-0,0x80260105,Invalid pointer value
SCE_AUDIO_IN_ERROR_INVALID_PARAM,CE-30828-1,0x80260106,Invalid port parameter
SCE_AUDIO_IN_ERROR_PORT_FULL,CE-30829-2,0x80260107,Cannot open port any more
SCE_AUDIO_IN_ERROR_OUT_OF_MEMORY,CE-30830-4,0x80260108,Not enough memory
SCE_AUDIO_IN_ERROR_NOT_OPENED,CE-30831-5,0x80260109,This port is not opened
SCE_AUDIO_IN_ERROR_BUSY,CE-30832-6,0x8026010A,Tried to input while inputting
SCE_AUDIO_IN_ERROR_SYSTEM_MEMORY,CE-30833-7,0x8026010B,Error due to relate of the system memory access
SCE_AUDIO_IN_ERROR_SYSTEM_IPC,CE-30834-8,0x8026010C,Error due to the system IPC
"",CE-30835-9,0x80290000,
SCE_VIDEO_OUT_ERROR_INVALID_VALUE,CE-30836-0,0x80290001,Invalid argument
SCE_VIDEO_OUT_ERROR_INVALID_ADDRESS,CE-30837-1,0x80290002,Invalid address
SCE_VIDEO_OUT_ERROR_INVALID_PIXEL_FORMAT,CE-30838-2,0x80290003,Invalid pixel format argument
SCE_VIDEO_OUT_ERROR_INVALID_PITCH,CE-30839-3,0x80290004,Invalid pitch argument
SCE_VIDEO_OUT_ERROR_INVALID_RESOLUTION,CE-30840-5,0x80290005,"Invalid width, height argument"
SCE_VIDEO_OUT_ERROR_INVALID_FLIP_MODE,CE-30841-6,0x80290006,Invalid flip mode argument
SCE_VIDEO_OUT_ERROR_INVALID_TILING_MODE,CE-30842-7,0x80290007,Invalid tiling mode argument
SCE_VIDEO_OUT_ERROR_INVALID_ASPECT_RATIO,CE-30843-8,0x80290008,Invalid aspect ratio argument
SCE_VIDEO_OUT_ERROR_RESOURCE_BUSY,CE-30844-9,0x80290009,The resource is in use.
SCE_VIDEO_OUT_ERROR_INVALID_INDEX,CE-30845-0,0x8029000A,Invalid index
SCE_VIDEO_OUT_ERROR_INVALID_HANDLE,CE-30846-1,0x8029000B,Invalid handle
SCE_VIDEO_OUT_ERROR_INVALID_EVENT_QUEUE,CE-30847-2,0x8029000C,Invalid event queue
SCE_VIDEO_OUT_ERROR_INVALID_EVENT,CE-30848-3,0x8029000D,Invalid event
SCE_VIDEO_OUT_ERROR_NO_EMPTY_SLOT,CE-30849-4,0x8029000F,No empty slot found.
SCE_VIDEO_OUT_ERROR_SLOT_OCCUPIED,CE-30850-6,0x80290010,The specified slot is already occupied.
SCE_VIDEO_OUT_ERROR_FLIP_QUEUE_FULL,CE-30851-7,0x80290012,flip queue is already full
SCE_VIDEO_OUT_ERROR_INVALID_MEMORY,CE-30852-8,0x80290013,Invalid memory
SCE_VIDEO_OUT_ERROR_MEMORY_NOT_PHYSICALLY_CONTIGUOUS,CE-30853-9,0x80290014,The buffer memory is not physically contiguous
SCE_VIDEO_OUT_ERROR_MEMORY_INVALID_ALIGNMENT,CE-30854-0,0x80290015,Invalid memory alignment for the buffer
SCE_VIDEO_OUT_ERROR_UNSUPPORTED_OUTPUT_MODE,CE-30855-1,0x80290016,Unsupported output mode
SCE_VIDEO_OUT_ERROR_UNKNOWN,CE-30856-2,0x802900FE,Unknown error
SCE_VIDEO_OUT_ERROR_FATAL,CE-30857-3,0x802900FF,Internal error
SCE_VIDEO_OUT_ERROR_ENOMEM,CE-30858-4,0x8029100C,Cannot allocate memory
"",CE-30859-5,0x802A0001,
"",CE-30860-7,0x802A0002,
"",CE-30861-8,0x802A0003,
"",CE-30862-9,0x802A0004,
"",CE-30863-0,0x802A0005,
"",CE-30864-1,0x802A0006,
"",CE-30865-2,0x802A0007,
SCE_CAMERA_ERROR_PARAM,CE-30866-3,0x802E0000,Parameter is invalid
SCE_CAMERA_ERROR_ALREADY_INIT,CE-30867-4,0x802E0001,Already initialized
SCE_CAMERA_ERROR_NOT_INIT,CE-30868-5,0x802E0002,Not initialized
SCE_CAMERA_ERROR_ALREADY_OPEN,CE-30869-6,0x802E0003,Camera is already open.
SCE_CAMERA_ERROR_NOT_OPEN,CE-30870-8,0x802E0004,Camera is not open.
SCE_CAMERA_ERROR_ALREADY_START,CE-30871-9,0x802E0005,Streaming has started.
SCE_CAMERA_ERROR_NOT_START,CE-30872-0,0x802E0006,Streaming has not yet started.
SCE_CAMERA_ERROR_FORMAT_UNKNOWN,CE-30873-1,0x802E0007,Cannot start with specified format.
SCE_CAMERA_ERROR_RESOLUTION_UNKNOWN,CE-30874-2,0x802E0008,Cannot start with specified resolution.
SCE_CAMERA_ERROR_BAD_FRAMERATE,CE-30875-3,0x802E0009,Cannot open with specified frame rate.
SCE_CAMERA_ERROR_TIMEOUT,CE-30876-4,0x802E000A,Function timed out
SCE_CAMERA_ERROR_ATTRIBUTE_UNKNOWN,CE-30877-5,0x802E000B,Unknown attribute
SCE_CAMERA_ERROR_BUSY,CE-30878-6,0x802E000C,The camera is busy.
SCE_CAMERA_ERROR_UNKNOWN_CONFIG,CE-30879-7,0x802E000D,Unknown Configuration
SCE_CAMERA_ERROR_ALREADY_READ,CE-30880-9,0x802E000F,The frame has already been read.
SCE_CAMERA_ERROR_NOT_CONNECTED,CE-30881-0,0x802E0010,The Camera is not connected.
SCE_CAMERA_ERROR_NOT_SUPPORTED,CE-30882-1,0x802E0011,The Function is not supported.
SCE_CAMERA_ERROR_INVALID_CONFIG,CE-30883-2,0x802E0013,Attribute cannot specify under this Configuration.
SCE_CAMERA_ERROR_MAX_HANDLE,CE-30884-3,0x802E0014,Number of processes reached maximum.
SCE_CAMERA_ERROR_MAX_PROCESS,CE-30885-4,0x802E00FB,Number of processes reached maximum.
SCE_CAMERA_ERROR_COPYOUT_FAILED,CE-30886-5,0x802E00FC,Copy out failed.
SCE_CAMERA_ERROR_COPYIN_FAILED,CE-30887-6,0x802E00FD,Copying failed.
SCE_CAMERA_ERROR_KPROC_CREATE,CE-30888-7,0x802E00FE,Process create failed.
SCE_CAMERA_ERROR_FATAL,CE-30889-8,0x802E00FF,Fatal error occurred.
"",CE-31138-6,,This user already logged out
"",CE-31493-0,,Fatal error
"",CE-31494-1,,Invalid argument value detected
"",CE-31495-2,,Invalid FontMemory detected
"",CE-31496-3,,Invalid FontLibrary detected
"",CE-31497-4,,Invalid FontHandle detected
"",CE-31498-5,,Invalid FontGlyph detected
"",CE-31499-6,,Invalid FontRenderer detected
"",CE-31500-9,,Memory allocation failed
"",CE-31501-0,,File open failed
"",CE-31502-1,,Unsupported library
"",CE-31503-2,,Unsupported format
"",CE-31504-3,,Unsupported function
"",CE-31505-4,,Already specified
"",CE-31506-5,,Already attached
"",CE-31507-6,,Already opened font detected
"",CE-31508-7,,No cache buffer
"",CE-31509-8,,Unsupported font set
"",CE-31510-0,,Exceeding maximum number of font opens
"",CE-31511-1,,Failed in font opening process
"",CE-31512-2,,Failed in font closing process
"",CE-31513-3,,Unsupported code
"",CE-31514-4,,Glyph could not be found
"",CE-31515-5,,Unsupported surface
"",CE-31516-6,,Unset parameter
"",CE-31517-7,,Renderer is already bound
"",CE-31518-8,,Renderer is not bound
"",CE-31519-9,,Renderer could not allocate memory
"",CE-31520-1,,Render failed to render
"",CE-31521-2,,invalid pointer argument
"",CE-31522-3,,invalid state
"",CE-31523-4,,uninitialized context
"",CE-31524-5,,invalid pointer argument
"",CE-31525-6,,invalid state
"",CE-31526-7,,uninitialized context
"",CE-31527-8,,invalid pointer argument
"",CE-31528-9,,invalid state
"",CE-31529-0,,uninitialized context
"",CE-31530-2,,invalid pointer argument
"",CE-31531-3,,invalid state
"",CE-31532-4,,uninitialized context
"",CE-31533-5,,invalid pointer argument
"",CE-31534-6,,invalid state
"",CE-31535-7,,uninitialized context
"",CE-31536-8,,invalid pointer argument
"",CE-31537-9,,invalid state
"",CE-31538-0,,uninitialized context
"",CE-31539-1,,invalid pointer argument
"",CE-31540-3,,invalid state
"",CE-31541-4,,uninitialized context
"",CE-31542-5,,invalid pointer argument
"",CE-31543-6,,invalid state
"",CE-31544-7,,invalid digest size
"",CE-31545-8,,uninitialized context
"",CE-31546-9,,invalid pointer argument
"",CE-31547-0,,invalid digest size
"",CE-31548-1,,invalid pointer argument
"",CE-31549-2,,invalid pointer argument
"",CE-31550-4,,invalid state
"",CE-31551-5,,invalid size
"",CE-31552-6,,invalid pointer argument
"",CE-31553-7,,invalid state
"",CE-31554-8,,invalid size
"",CE-31555-9,,invalid pointer argument
"",CE-31556-0,,invalid state
"",CE-31557-1,,invalid size
"",CE-31558-2,,invalid pointer argument
"",CE-31559-3,,invalid state
"",CE-31560-5,,invalid size
"",CE-31561-6,,invalid pointer argument
"",CE-31562-7,,invalid state
"",CE-31563-8,,invalid size
"",CE-31564-9,,invalid pointer argument
"",CE-31565-0,,invalid state
"",CE-31566-1,,invalid size
"",CE-31567-2,,invalid pointer argument
"",CE-31568-3,,invalid state
"",CE-31569-4,,invalid size
"",CE-31570-6,,invalid pointer argument
"",CE-31571-7,,invalid state
"",CE-31572-8,,invalid size
"",CE-31573-9,,invalid pointer argument
"",CE-31574-0,,invalid state
"",CE-31575-1,,invalid size
"",CE-31576-2,,invalid pointer argument
"",CE-31577-3,,invalid state
"",CE-31578-4,,invalid size
"",CE-31579-5,,fatal error
"",CE-31580-7,,specified max grain samples is invalid
"",CE-31581-8,,specified grain samples is invalid
"",CE-31582-9,,the specified number of channel is invalid
"",CE-31583-0,,specified out address is invalid
"",CE-31584-1,,specified out size is invalid
"",CE-31585-2,,specified option address is invalid
"",CE-31586-3,,specified option size is invalid
"",CE-31587-4,,specified system option flag is invalid
"",CE-31588-5,,specified max matrices is invalid
"",CE-31589-6,,specified max ports is invalid
"",CE-31590-8,,specified max input delay blocks is invalid
"",CE-31591-9,,specified max voices is invalid
"",CE-31592-0,,specified max channels is invalid
"",CE-31593-1,,specified max channels is invalid
"",CE-31594-2,,specified max waveform blocks is invalid
"",CE-31595-3,,specified max envelope points is invalid
"",CE-31596-4,,specified max filters is invalid
"",CE-31597-5,,specified max codec caches is invalid
"",CE-31598-6,,specified max atrac9 decoders is invalid
"",CE-31599-7,,specified max atrac9 channel works is invalid
"",CE-31600-0,,specified max inputs is invalid
"",CE-31601-1,,the specified number of matrix level is invalid
"",CE-31602-2,,the specified number of waveform block is invalid
"",CE-31603-3,,the specified number of envelope points is invalid
"",CE-31604-4,,the specified matrix level address is invalid
"",CE-31605-5,,the specified waveform block address is invalid
"",CE-31606-6,,the specified envelope point address is invalid
"",CE-31607-7,,the specified number of peak meter block is invalid
"",CE-31608-8,,specified handle is invalid
"",CE-31609-9,,specified sample rate is invalid
"",CE-31610-1,,specified report type is invalid
"",CE-31611-2,,specified report handler is invalid
"",CE-31612-3,,specified report handle is invalid
"",CE-31613-4,,report handle can not be registered
"",CE-31614-5,,specified buffer info is invalid
"",CE-31615-6,,specified buffer address is invalid
"",CE-31616-7,,specified buffer alignment is invalid
"",CE-31617-8,,specified buffer size is invalid
"",CE-31618-9,,specified buffer allocator is invalid
"",CE-31619-0,,system buffer is broken
"",CE-31620-2,,buffer is lack
"",CE-31621-3,,specified system handle is invalid
"",CE-31622-4,,specified Rack ID is invalid
"",CE-31623-5,,specified Rack handle is invalid
"",CE-31624-6,,specified voice handle is invalid
"",CE-31625-7,,specified voice is uninitialized
"",CE-31626-8,,specified voice index is invalid
"",CE-31627-9,,specified voice event is invalid
"",CE-31628-0,,specified port index is invalid
"",CE-31629-1,,specified patch parameter is invalid
"",CE-31630-3,,channel work is lack
"",CE-31631-4,,voice resource is lack
"",CE-31632-5,,specified voice control ID is invalid
"",CE-31633-6,,specified voice control address is invalid
"",CE-31634-7,,specified voice control size is invalid
"",CE-31635-8,,detected circular voice control
"",CE-31636-9,,voice resource is lack
"",CE-31637-0,,the specified data format of wave form is invalid
"",CE-31638-1,,the specified type of wave form is invalid
"",CE-31639-2,,the specified config data of wave form is invalid
"",CE-31640-4,,the specified sample rate of wave form is invalid
"",CE-31641-5,,the specified frame offset or frame mergin is invalid
"",CE-31642-6,,the specified address of wave form is invalid
"",CE-31643-7,,the specified size of wave form is invalid
"",CE-31644-8,,the specified wave form data is invalid
"",CE-31645-9,,the specified curve of envelope is invalid
"",CE-31646-0,,the specified flag of peak meter is invalid
"",CE-31647-1,,the specified max chorus phases is invalid
"",CE-31648-2,,the specified number of chorus phases is invalid
"",CE-31649-3,,the specified curve of envelope is invalid
"",CE-31650-5,,the specified type of filter is invalid
"",CE-31651-6,,the specified location of filter is invalid
"",CE-31652-7,,the specified cutoff frequency of filter is invalid
"",CE-31653-8,,the specified parameter size of user fx is invalid
"",CE-31654-9,,the specified index of matrix is invalid
"",CE-31655-0,,the codec of specified wavefrom is invalid
"",CE-31656-1,,the codec instance is not empty
"",CE-31657-2,,the channel work of codec is not empty
"",CE-31658-3,,failed to setup decoder
"",CE-31659-4,,failed to reset decoder
"",CE-31660-6,,failed to decode
"",CE-31661-7,,the specified reverb size is invalid
"",CE-31662-8,,the specified unit angle is invalid
"",CE-31663-9,,the specified speaker angle is invalid
"",CE-31664-0,,the specified pan matrix format is invalid
"",CE-31665-1,,the specified pan work is invalid
"",CE-31666-2,,the specified pan param is invalid
"",CE-31667-3,,the specified module ID is invalid
"",CE-31668-4,,the specified number of module is invalid
"",CE-31669-5,,the specified number of module buffer is invalid
"",CE-31670-7,,the specified module buffer ID is invalid
"",CE-31671-8,,the specified module state offset is invalid
"",CE-31672-9,,the specified module state size is invalid
"",CE-31673-0,,the specified voice state size is invalid
"",CE-31674-1,,the specified module index is invalid
"",CE-31675-2,,the specified module info size is invalid
"",CE-31695-4,,The system has already initialized
"",CE-31696-5,,The system has not been initialized
"",CE-31697-6,,An argument is invalid
"",CE-31698-7,,The alignment of a parameter is invalid
"",CE-31699-8,,The system ran out of memory
"",CE-31700-1,,The feature is unsupported
"",CE-31701-2,,A network error occurred
"",CE-31702-3,,The network is not owned by this system
"",CE-31703-4,,An agent has the incorrect definition
"",CE-31704-5,,The server is not connected
"",CE-31705-6,,A capture is already in progress
"",CE-31706-7,,The server has run out of bookmarks to allocate
