SCE_KERNEL_ERROR_EPERM,CE-30001-4,0x80020001,Operation not permitted
SCE_KERNEL_ERROR_EPROTOTYPE,CE-30041-8,0x80020029,Protocol wrong type for socket
SCE_KERNEL_ERROR_ENOPROTOOPT,CE-30042-9,0x8002002A,Protocol not available
SCE_KERNEL_ERROR_EPROTONOSUPPORT,CE-30043-0,0x8002002B,Protocol not supported
SCE_KERNEL_ERROR_ESOCKTNOSUPPORT,CE-30044-1,0x8002002C,Socket type not supported
SCE_KERNEL_ERROR_ENOTSUP,CE-30045-2,0x8002002D,Operation not supported (SCE_KERNEL_ERROR_EOPNOTSUPP)
SCE_KERNEL_ERROR_EOPNOTSUPP,CE-30045-2,0x8002002D,Operation not supported
SCE_KERNEL_ERROR_EPFNOSUPPORT,CE-30046-3,0x8002002E,Protocol family not supported
SCE_KERNEL_ERROR_EAFNOSUPPORT,CE-30047-4,0x8002002F,Address family not supported by protocol family
SCE_KERNEL_ERROR_EADDRINUSE,CE-30048-5,0x80020030,Address already in use
SCE_KERNEL_ERROR_EADDRNOTAVAIL,CE-30049-6,0x80020031,Can't assign requested address
SCE_KERNEL_ERROR_ENETDOWN,CE-30050-8,0x80020032,Network is down
SCE_KERNEL_ERROR_ENETUNREACH,CE-30051-9,0x80020033,Network is unreachable
SCE_KERNEL_ERROR_ENETRESET,CE-30052-0,0x80020034,Network dropped connection on reset
SCE_KERNEL_ERROR_ECONNABORTED,CE-30053-1,0x80020035,Software caused connection abort
SCE_KERNEL_ERROR_ECONNRESET,CE-30054-2,0x80020036,Connection reset by peer
SCE_KERNEL_ERROR_ENOBUFS,CE-30055-3,0x80020037,No buffer space available
SCE_KERNEL_ERROR_EISCONN,CE-30056-4,0x80020038,Socket is already connected
SCE_KERNEL_ERROR_ENOTCONN,CE-30057-5,0x80020039,Socket is not connected
SCE_KERNEL_ERROR_ESHUTDOWN,CE-30058-6,0x8002003A,Can't send after socket shutdown
SCE_KERNEL_ERROR_ETOOMANYREFS,CE-30059-7,0x8002003B,Too many references: can't splice
SCE_KERNEL_ERROR_ETIMEDOUT,CE-30060-9,0x8002003C,Operation timed out
SCE_KERNEL_ERROR_ECONNREFUSED,CE-30061-0,0x8002003D,Connection refused
SCE_KERNEL_ERROR_ELOOP,CE-30062-1,0x8002003E,Too many levels of symbolic links
SCE_KERNEL_ERROR_ENAMETOOLONG,CE-30063-2,0x8002003F,File name too long
SCE_KERNEL_ERROR_EHOSTDOWN,CE-30064-3,0x80020040,Host is down
SCE_KERNEL_ERROR_EHOSTUNREACH,CE-30065-4,0x80020041,No route to host
SCE_KERNEL_ERROR_ENOTEMPTY,CE-30066-5,0x80020042,Directory not empty
SCE_KERNEL_ERROR_EPROCLIM,CE-30067-6,0x80020043,Too many processes
SCE_KERNEL_ERROR_EUSERS,CE-30068-7,0x80020044,Too many users
SCE_KERNEL_ERROR_EDQUOT,CE-30069-8,0x80020045,Disc quota exceeded
SCE_KERNEL_ERROR_ESTALE,CE-30070-0,0x80020046,Stale NFS file handle
SCE_KERNEL_ERROR_EREMOTE,CE-30071-1,0x80020047,Too many levels of remote in path
SCE_KERNEL_ERROR_EBADRPC,CE-30072-2,0x80020048,RPC struct is bad
SCE_KERNEL_ERROR_ERPCMISMATCH,CE-30073-3,0x80020049,RPC version wrong
SCE_KERNEL_ERROR_EPROGUNAVAIL,CE-30074-4,0x8002004A,RPC prog. not avail
SCE_KERNEL_ERROR_EPROGMISMATCH,CE-30075-5,0x8002004B,Program version wrong
SCE_KERNEL_ERROR_EPROCUNAVAIL,CE-30076-6,0x8002004C,Bad procedure for program
SCE_KERNEL_ERROR_ENOLCK,CE-30077-7,0x8002004D,No locks available
SCE_KERNEL_ERROR_ENOSYS,CE-30078-8,0x8002004E,Function not implemented
SCE_KERNEL_ERROR_EFTYPE,CE-30079-9,0x8002004F,Inappropriate file type or format
SCE_KERNEL_ERROR_EAUTH,CE-30080-1,0x80020050,Authentication error
SCE_KERNEL_ERROR_ENEEDAUTH,CE-30081-2,0x80020051,Need authenticator
SCE_KERNEL_ERROR_EIDRM,CE-30082-3,0x80020052,Identifier removed
SCE_KERNEL_ERROR_ENOMSG,CE-30083-4,0x80020053,No message of desired type
SCE_KERNEL_ERROR_EOVERFLOW,CE-30084-5,0x80020054,Value too large to be stored in data type
SCE_KERNEL_ERROR_ECANCELED,CE-30085-6,0x80020055,Operation canceled
SCE_KERNEL_ERROR_EILSEQ,CE-30086-7,0x80020056,Illegal byte sequence
SCE_KERNEL_ERROR_ENOATTR,CE-30087-8,0x80020057,Attribute not found
SCE_KERNEL_ERROR_EDOOFUS,CE-30088-9,0x80020058,Programming error
SCE_KERNEL_ERROR_EBADMSG,CE-30089-0,0x80020059,Bad message
SCE_KERNEL_ERROR_EMULTIHOP,CE-30090-2,0x8002005A,Multihop attempted
SCE_KERNEL_ERROR_ENOLINK,CE-30091-3,0x8002005B,Link has been severed
SCE_KERNEL_ERROR_EPROTO,CE-30092-4,0x8002005C,Protocol error
SCE_KERNEL_ERROR_ENOTCAPABLE,CE-30093-5,0x8002005D,Capabilities insufficient
SCE_KERNEL_ERROR_ECAPMODE,CE-30094-6,0x8002005E,Not permitted in capability mode
SCE_KERNEL_ERROR_ENOBLK,CE-30095-7,0x8002005F,Block not ready
SCE_KERNEL_ERROR_EICV,CE-34224-5,0x80020060,Integrity check error
SCE_KERNEL_ERROR_ENOPLAYGOENT,CE-34225-6,0x80020061,File not found in PlayGo chunk definition
SCE_KERNEL_ERROR_EREVOKE,CE-40739-3,0x80020062,File is revoked
SCE_KERNEL_ERROR_ESDKVERSION,CE-40740-5,0x80020063,SDK version of a binary file is invalid
SCE_DECI4H_ERROR_UNKNOWN,CE-38498-2,0x80080800,Undefined error
SCE_DECI4H_ERROR_ALREADYUSE_PROTOCOL,CE-38499-3,0x80080801,Protocol number is already being used
SCE_DECI4H_ERROR_ILLEGAL_SID,CE-38500-6,0x80080802,Invalid socket ID
SCE_DECI4H_ERROR_INVALID_ARGUMENT,CE-38501-7,0x80080804,Invalid argument
SCE_DECI4H_ERROR_ILLEGAL_PROTOCOL,CE-38502-8,0x80080806,Invalid protocol number
SCE_DECI4H_ERROR_TOOMANY_PROTOCOL,CE-38503-9,0x80080809,Exceeded the maximum number of usable sockets
SCE_DECI4H_ERROR_INTERRUPTED,CE-38504-0,0x8008080C,Transfer interrupted
SCE_DECI4H_ERROR_NO_CONNECTED,CE-38505-1,0x8008080E,Host PC is not connected
SCE_DECI4H_ERROR_HOST_PROCESS_DISABLED,CE-38506-2,0x80080820,Invalid host PC settings
SCE_DECI4H_ERROR_HOST_CREATE_PROCESS,CE-38507-3,0x80080821,Process creation in host PC failed
SCE_DECI4H_ERROR_HOST_TOOMANY_PROCESS,CE-38508-4,0x80080822,Number of processes being created is too many
SCE_SYSFILE_ERROR_NOMEM,CE-30614-4,0x80120001,out of memory
SCE_SYSFILE_ERROR_IO,CE-30615-5,0x80120002,file IO error
SCE_SYSFILE_ERROR_INVAL,CE-30616-6,0x80120003,invalid parameters
SCE_SYSFILE_ERROR_BADMAGIC,CE-30617-7,0x80120004,invalid MAGIC code(system file broken)
SCE_SYSFILE_ERROR_KEYNOTFOUND,CE-30618-8,0x80120005,key's not found(system file broken)
SCE_SYSFILE_ERROR_KEYDUPLICATION,CE-30619-9,0x80120006,duplication of key(system file broken)
SCE_SYSFILE_ERROR_BADVERSION,CE-30620-1,0x80120007,invalid version(system file broken)
SCE_SYSFILE_ERROR_OVER_DATABUFSIZE,CE-30621-2,0x80120008,invalid data size(system file broken)
SCE_USBD_ERROR_IO,CE-30791-0,0x80240001,I/O error
SCE_USBD_ERROR_INVALID_ARG,CE-30792-1,0x80240002,invalid argument
SCE_USBD_ERROR_ACCESS,CE-30793-2,0x80240003,permission denied
SCE_USBD_ERROR_NO_DEVICE,CE-30794-3,0x80240004,no such device
SCE_USBD_ERROR_NOT_FOUND,CE-30795-4,0x80240005,resource not found
SCE_USBD_ERROR_BUSY,CE-30796-5,0x80240006,resource busy
SCE_USBD_ERROR_TIMEOUT,CE-30797-6,0x80240007,timer expired
SCE_USBD_ERROR_OVERFLOW,CE-30798-7,0x80240008,value too large to be stored in data type
SCE_USBD_ERROR_PIPE,CE-30799-8,0x80240009,broken pipe
SCE_USBD_ERROR_INTERRUPTED,CE-30800-1,0x8024000A,interrupted system call
SCE_USBD_ERROR_NO_MEM,CE-30801-2,0x8024000B,not enough core
SCE_USBD_ERROR_NOT_SUPPORTED,CE-30802-3,0x8024000C,operation not supported
SCE_USBD_ERROR_FATAL,CE-30803-4,0x802400FF,fatal error
SCE_AUDIO_OUT_ERROR_NOT_OPENED,CE-30804-5,0x80260001,"Tried to perform an operation (play, release or get number of remaining samples) for the port not opened"
SCE_AUDIO_OUT_ERROR_BUSY,CE-30805-6,0x80260002,Tried to output while outputting audio
SCE_AUDIO_OUT_ERROR_INVALID_PORT,CE-30806-7,0x80260003,Invalid port number
SCE_AUDIO_OUT_ERROR_INVALID_POINTER,CE-30807-8,0x80260004,Invalid pointer
SCE_AUDIO_OUT_ERROR_PORT_FULL,CE-30808-9,0x80260005,Cannot reserve a port(channel) any more
SCE_AUDIO_OUT_ERROR_INVALID_SIZE,CE-30809-0,0x80260006,Invalid sample length specified
SCE_AUDIO_OUT_ERROR_INVALID_FORMAT,CE-30810-2,0x80260007,Invalid audio format
SCE_AUDIO_OUT_ERROR_INVALID_SAMPLE_FREQ,CE-30811-3,0x80260008,Invalid sampling frequency
SCE_AUDIO_OUT_ERROR_INVALID_VOLUME,CE-30812-4,0x80260009,Invalid volume value
SCE_AUDIO_OUT_ERROR_INVALID_PORT_TYPE,CE-30813-5,0x8026000A,Invalid port type
SCE_AUDIO_OUT_ERROR_INVALID_CONF_TYPE,CE-30814-6,0x8026000C,Invalid config type
SCE_AUDIO_OUT_ERROR_OUT_OF_MEMORY,CE-30815-7,0x8026000D,Not enough memory
SCE_AUDIO_OUT_ERROR_ALREADY_INIT,CE-30816-8,0x8026000E,already initialized
SCE_AUDIO_OUT_ERROR_NOT_INIT,CE-30817-9,0x8026000F,not initialized
SCE_AUDIO_OUT_ERROR_MEMORY,CE-30818-0,0x80260010,memory handling error
SCE_AUDIO_OUT_ERROR_SYSTEM_RESOURCE,CE-30819-1,0x80260011,system resourc error
SCE_AUDIO_OUT_ERROR_TRANS_EVENT,CE-30820-3,0x80260012,transfer event send error
SCE_AUDIO_OUT_ERROR_INVALID_FLAG,CE-30821-4,0x80260013,Invalid volume flag value
SCE_AUDIO_OUT_ERROR_INVALID_MIXLEVEL,CE-34341-5,0x80260014,Invalid mix level value
SCE_AUDIO_OUT_ERROR_INVALID_ARG,CE-38516-3,0x80260015,Invalid argument
SCE_AUDIO_OUT_ERROR_INVALID_PARAM,CE-38517-4,0x80260016,Invalid parameter
SCE_AUDIO_IN_ERROR_FATAL,CE-30822-5,0x80260100,undefined error
SCE_AUDIO_IN_ERROR_INVALID_HANDLE,CE-30823-6,0x80260101,Bad value of handle
SCE_AUDIO_IN_ERROR_INVALID_SIZE,CE-30824-7,0x80260102,Invalid sample length
SCE_AUDIO_IN_ERROR_INVALID_FREQ,CE-30825-8,0x80260103,Invalid sampling frequency
SCE_AUDIO_IN_ERROR_INVALID_TYPE,CE-30826-9,0x80260104,Invalid bus type
SCE_AUDIO_IN_ERROR_INVALID_POINTER,CE-30827-0,0x80260105,Invalid pointer value
SCE_AUDIO_IN_ERROR_INVALID_PARAM,CE-30828-1,0x80260106,Invalid port parameter
SCE_AUDIO_IN_ERROR_PORT_FULL,CE-30829-2,0x80260107,Cannot open port any more
SCE_AUDIO_IN_ERROR_OUT_OF_MEMORY,CE-30830-4,0x80260108,Not enough memory
SCE_AUDIO_IN_ERROR_NOT_OPENED,CE-30831-5,0x80260109,This port is not opened
SCE_AUDIO_IN_ERROR_BUSY,CE-30832-6,0x8026010A,Tried to input while inputting
SCE_AUDIO_IN_ERROR_SYSTEM_MEMORY,CE-30833-7,0x8026010B,Error due to relate of the system memory access
SCE_AUDIO_IN_ERROR_SYSTEM_IPC,CE-30834-8,0x8026010C,Error due to the system IPC
SCE_AUDIO_OUT_ERROR_MASTERING_FATAL,CE-38518-5,0x80260200,FATAL ERROR.
SCE_AUDIO_OUT_ERROR_MASTERING_INVALID_API_PARAM,CE-38519-6,0x80260201,Invalid mastering API parameter.
SCE_AUDIO_OUT_ERROR_MASTERING_INVALID_CONFIG,CE-38520-8,0x80260202,Mastering parameter structure is invaild.
SCE_AUDIO_OUT_ERROR_MASTERING_NOT_INITIALIZED,CE-38521-9,0x80260203,Mastering is not initialized.
SCE_AUDIO_OUT_ERROR_MASTERING_INVALID_STATES_ID,CE-38522-0,0x80260204,Mastering state ID is invalid.
SCE_AUDIO_OUT_ERROR_MASTERING_INVALID_FLAGS,CE-39196-8,0x80260205,specified flags is invalid.
SCE_AUDIO_LATENCY_ESTIMATION_ERROR_FATAL,CE-38523-1,0x80260300,undefined error
SCE_AUDIO_LATENCY_ESTIMATION_ERROR_INVALID_HANDLE,CE-38524-2,0x80260301,Bad value of handle
SCE_AUDIO_LATENCY_ESTIMATION_ERROR_INVALID_POINTER,CE-38525-3,0x80260302,Invalid pointer value
SCE_VIDEO_OUT_ERROR_INVALID_VALUE,CE-30836-0,0x80290001,invalid argument
SCE_VIDEO_OUT_ERROR_INVALID_ADDRESS,CE-30837-1,0x80290002,invalid address
SCE_VIDEO_OUT_ERROR_INVALID_PIXEL_FORMAT,CE-30838-2,0x80290003,invalid pixel format argument
SCE_VIDEO_OUT_ERROR_INVALID_PITCH,CE-30839-3,0x80290004,invalid pitch argument
SCE_VIDEO_OUT_ERROR_INVALID_RESOLUTION,CE-30840-5,0x80290005,"height引数, invalid width, height argument"
SCE_VIDEO_OUT_ERROR_INVALID_FLIP_MODE,CE-30841-6,0x80290006,invalid flip mode argument
SCE_VIDEO_OUT_ERROR_INVALID_TILING_MODE,CE-30842-7,0x80290007,invalid tiling mode argument
SCE_VIDEO_OUT_ERROR_INVALID_ASPECT_RATIO,CE-30843-8,0x80290008,invalid aspect ratio argument
SCE_VIDEO_OUT_ERROR_RESOURCE_BUSY,CE-30844-9,0x80290009,the resource is in use
SCE_VIDEO_OUT_ERROR_INVALID_INDEX,CE-30845-0,0x8029000A,invalid index
SCE_VIDEO_OUT_ERROR_INVALID_HANDLE,CE-30846-1,0x8029000B,invalid handle
SCE_VIDEO_OUT_ERROR_INVALID_EVENT_QUEUE,CE-30847-2,0x8029000C,invalid event queue
SCE_VIDEO_OUT_ERROR_INVALID_EVENT,CE-30848-3,0x8029000D,invalid event
SCE_VIDEO_OUT_ERROR_NO_EMPTY_SLOT,CE-30849-4,0x8029000F,no empty slot found
SCE_VIDEO_OUT_ERROR_SLOT_OCCUPIED,CE-30850-6,0x80290010,the specified slot is already occupied
SCE_VIDEO_OUT_ERROR_FLIP_QUEUE_FULL,CE-30851-7,0x80290012,flip queue is already full
SCE_VIDEO_OUT_ERROR_INVALID_MEMORY,CE-30852-8,0x80290013,invalid memory
SCE_VIDEO_OUT_ERROR_MEMORY_NOT_PHYSICALLY_CONTIGUOUS,CE-30853-9,0x80290014,the buffer memory is not physically contiguous
SCE_VIDEO_OUT_ERROR_MEMORY_INVALID_ALIGNMENT,CE-30854-0,0x80290015,invalid memory alignment for the buffer
SCE_VIDEO_OUT_ERROR_UNSUPPORTED_OUTPUT_MODE,CE-30855-1,0x80290016,unsupported output mode
SCE_VIDEO_OUT_ERROR_OVERFLOW,CE-34342-6,0x80290017,overflow
SCE_VIDEO_OUT_ERROR_NO_DEVICE,CE-35957-9,0x80290018,device does not exist
SCE_VIDEO_OUT_ERROR_UNAVAILABLE_OUTPUT_MODE,CE-37528-5,0x80290019,unavailable output mode now
SCE_VIDEO_OUT_ERROR_INVALID_OPTION,CE-37573-5,0x8029001A,invalid option argument
SCE_VIDEO_OUT_ERROR_PORT_UNSUPPORTED_FUNCTION,CE-39197-9,0x8029001B,unsupported function with the speficied port
SCE_VIDEO_OUT_ERROR_UNSUPPORTED_OPERATION,CE-40767-4,0x8029001C,unsupported operation
SCE_VIDEO_OUT_ERROR_UNKNOWN,CE-30856-2,0x802900FE,unknown error
SCE_VIDEO_OUT_ERROR_FATAL,CE-30857-3,0x802900FF,internal error
SCE_VIDEO_OUT_ERROR_ENOMEM,CE-30858-4,0x8029100C,Cannot allocate memory
SCE_CAMERA_ERROR_PARAM,CE-30866-3,0x802E0000,Parameter is invalid
SCE_CAMERA_ERROR_ALREADY_INIT,CE-30867-4,0x802E0001,Already initialized
SCE_CAMERA_ERROR_NOT_INIT,CE-30868-5,0x802E0002,Not initialized
SCE_CAMERA_ERROR_ALREADY_OPEN,CE-30869-6,0x802E0003,Camera is already open
SCE_CAMERA_ERROR_NOT_OPEN,CE-30870-8,0x802E0004,Camera is not open
SCE_CAMERA_ERROR_ALREADY_START,CE-30871-9,0x802E0005,Streaming has started
SCE_CAMERA_ERROR_NOT_START,CE-30872-0,0x802E0006,Streaming has not yet started
SCE_CAMERA_ERROR_FORMAT_UNKNOWN,CE-30873-1,0x802E0007,Cannot start with specified format
SCE_CAMERA_ERROR_RESOLUTION_UNKNOWN,CE-30874-2,0x802E0008,Cannot start with specified resolution
SCE_CAMERA_ERROR_BAD_FRAMERATE,CE-30875-3,0x802E0009,Cannot open with specified frame rate
SCE_CAMERA_ERROR_TIMEOUT,CE-30876-4,0x802E000A,Function timed out
SCE_CAMERA_ERROR_ATTRIBUTE_UNKNOWN,CE-30877-5,0x802E000B,Unknown attribute
SCE_CAMERA_ERROR_BUSY,CE-30878-6,0x802E000C,The camera is busy.
SCE_CAMERA_ERROR_UNKNOWN_CONFIG,CE-30879-7,0x802E000D,Unknown Configration
SCE_CAMERA_ERROR_ALREADY_READ,CE-30880-9,0x802E000F,The frame has already been read.
SCE_CAMERA_ERROR_NOT_CONNECTED,CE-30881-0,0x802E0010,The Camera is not connected.
SCE_CAMERA_ERROR_NOT_SUPPORTED,CE-30882-1,0x802E0011,The Function is not supported.
SCE_CAMERA_ERROR_INVALID_CONFIG,CE-30883-2,0x802E0013,Attribute cannot specify under this Configration.
SCE_CAMERA_ERROR_MAX_HANDLE,CE-30884-3,0x802E0014,Number of processes reached maximum.
SCE_CAMERA_ERROR_MAX_PROCESS,CE-30885-4,0x802E00FB,Number of processes reached maximum.
SCE_CAMERA_ERROR_COPYOUT_FAILED,CE-30886-5,0x802E00FC,Copyout failed.
SCE_CAMERA_ERROR_COPYIN_FAILED,CE-30887-6,0x802E00FD,Copyin failed.
SCE_CAMERA_ERROR_KPROC_CREATE,CE-30888-7,0x802E00FE,Process create failed.
SCE_CAMERA_ERROR_FATAL,CE-30889-8,0x802E00FF,Fatal error occurred
SCE_HID_ERROR_ALREADY_LOGGED_OUT,CE-31138-6,0x803B0101,this user already logged out
SCE_NET_ERROR_EPERM,NW-31141-0,0x80410101,Invalid Net library ID specified
SCE_NET_ERROR_ENOENT,NW-31142-1,0x80410102,No resources are in wait state
SCE_NET_ERROR_ESRCH,NW-31143-2,0x80410103,Internal error
SCE_NET_ERROR_EINTR,NW-31144-3,0x80410104,Blocking canceled by abort function
SCE_NET_ERROR_EIO,NW-31145-4,0x80410105,Internal error
SCE_NET_ERROR_ENXIO,NW-31146-5,0x80410106,Internal error
SCE_NET_ERROR_E2BIG,NW-31147-6,0x80410107,Internal error
SCE_NET_ERROR_ENOEXEC,NW-31148-7,0x80410108,Internal error
SCE_NET_ERROR_EBADF,NW-31149-8,0x80410109,Invalid libnet ID specified
SCE_NET_ERROR_ECHILD,NW-31150-0,0x8041010A,Internal error
SCE_NET_ERROR_EDEADLK,NW-31151-1,0x8041010B,Internal error
SCE_NET_ERROR_ENOMEM,NW-31152-2,0x8041010C,Insufficient memory (kernel)
SCE_NET_ERROR_EACCES,NW-31153-3,0x8041010D,Attempted to use an area reserved by the system
SCE_NET_ERROR_EFAULT,NW-31154-4,0x8041010E,Invalid argument specified
SCE_NET_ERROR_ENOTBLK,NW-31155-5,0x8041010F,Abort process called while target is not in wait state
SCE_NET_ERROR_EBUSY,NW-31156-6,0x80410110,libnet already initialized
SCE_NET_ERROR_EEXIST,NW-31157-7,0x80410111,SCE_NET_EPOLL_CTL_ADD specified to previously associated Net library ID
SCE_NET_ERROR_EXDEV,NW-31158-8,0x80410112,Internal error
SCE_NET_ERROR_ENODEV,NW-31159-9,0x80410113,Target device does not exist
SCE_NET_ERROR_ENOTDIR,NW-31160-1,0x80410114,Internal error
SCE_NET_ERROR_EISDIR,NW-31161-2,0x80410115,Internal error
SCE_NET_ERROR_EINVAL,NW-31162-3,0x80410116,Invalid argument specified
SCE_NET_ERROR_ENFILE,NW-31163-4,0x80410117,Insufficient space in socket table
SCE_NET_ERROR_EMFILE,NW-31164-5,0x80410118,Insufficient space in table
SCE_NET_ERROR_ENOTTY,NW-31165-6,0x80410119,Internal error
SCE_NET_ERROR_ETXTBSY,NW-31166-7,0x8041011A,Internal error
SCE_NET_ERROR_EFBIG,NW-31167-8,0x8041011B,Internal error
SCE_NET_ERROR_ENOSPC,NW-31168-9,0x8041011C,Size specified with dst is too small to store string
SCE_NET_ERROR_ESPIPE,NW-31169-0,0x8041011D,Internal error
SCE_NET_ERROR_EROFS,NW-31170-2,0x8041011E,Internal error
SCE_NET_ERROR_EMLINK,NW-31171-3,0x8041011F,Internal error
SCE_NET_ERROR_EPIPE,NW-31172-4,0x80410120,Writing side of socket already closed
SCE_NET_ERROR_EDOM,NW-31173-5,0x80410121,Internal error
SCE_NET_ERROR_ERANGE,NW-31174-6,0x80410122,Internal error
SCE_NET_ERROR_EAGAIN,NW-31175-7,0x80410123,Socket is in blocking state (when non-blocking)
SCE_NET_ERROR_EWOULDBLOCK,NW-31175-7,0x80410123,same as SCE_NET_ERROR_EAGAIN
SCE_NET_ERROR_EINPROGRESS,NW-31176-8,0x80410124,Attempting to establish a connection
SCE_NET_ERROR_EALREADY,NW-31177-9,0x80410125,Socket is already in use
SCE_NET_ERROR_ENOTSOCK,NW-31178-0,0x80410126,Internal error
SCE_NET_ERROR_EDESTADDRREQ,NW-31179-1,0x80410127,Invalid send request (sceNetSendto() should be used)
SCE_NET_ERROR_EMSGSIZE,NW-31180-3,0x80410128,Message size is too large
SCE_NET_ERROR_EPROTOTYPE,NW-31181-4,0x80410129,Unsupported protocol type was specified
SCE_NET_ERROR_ENOPROTOOPT,NW-31182-5,0x8041012A,Option is not supported
SCE_NET_ERROR_EPROTONOSUPPORT,NW-31183-6,0x8041012B,Invalid protocol family
SCE_NET_ERROR_ESOCKTNOSUPPORT,NW-31184-7,0x8041012C,Internal error
SCE_NET_ERROR_ENOTSUP,NW-31185-8,0x8041012D,Invalid call for that socket
SCE_NET_ERROR_EOPNOTSUPP,NW-31185-8,0x8041012D,Invalid call for that socket
SCE_NET_ERROR_EPFNOSUPPORT,NW-31186-9,0x8041012E,Unsupported protocol family was specified
SCE_NET_ERROR_EAFNOSUPPORT,NW-31187-0,0x8041012F,Value of specified address family is not supported by socket protocol family
SCE_NET_ERROR_EADDRINUSE,NW-31188-1,0x80410130,Attempted to bind to bound port
SCE_NET_ERROR_EADDRNOTAVAIL,NW-31189-2,0x80410131,Invalid address specified
SCE_NET_ERROR_ENETDOWN,NW-31190-4,0x80410132,Interface is down
SCE_NET_ERROR_ENETUNREACH,NW-31191-5,0x80410133,Destination is unreachable
SCE_NET_ERROR_ENETRESET,NW-31192-6,0x80410134,Internal error
SCE_NET_ERROR_ECONNABORTED,NW-31193-7,0x80410135,Connection was aborted
SCE_NET_ERROR_ECONNRESET,NW-31194-8,0x80410136,Connection was reset
SCE_NET_ERROR_ENOBUFS,NW-31195-9,0x80410137,Memory limited
SCE_NET_ERROR_EISCONN,NW-31196-0,0x80410138,Specified connection is already established
SCE_NET_ERROR_ENOTCONN,NW-31197-1,0x80410139,Specified connection does not exist
SCE_NET_ERROR_ESHUTDOWN,NW-31198-2,0x8041013A,Shutdown in progress
SCE_NET_ERROR_ETOOMANYREFS,NW-31199-3,0x8041013B,Too many multicast addresses specified
SCE_NET_ERROR_ETIMEDOUT,NW-31200-6,0x8041013C,"Timeout occurred (indicates a protocol timeout, unlike SCE_NET_EAGAIN)"
